projekt;kommun_bolag;lokaltyp;spar;entreprenad;storlek;uppdrag;inriktn_investbeslut;laga_kraft;tilldelning;byggstart;inflytt;byggtid_man;kalltyp;atypisk;kalla_url
Bifrostvägen 2-6 förskola;Stockholm SISAB;förskola;nybygg bef DP;delad (byggnad TE);54 platser trämodul;;GB 2020-09;;;;godkänd 2023-10;;primär (slutrapport);nej;meetingspublic.stockholm.se slutrapport bilaga 11 2024-12-17
Skanskvarnsskolan;Stockholm SISAB;skola F-9;om/tillbygg bef DP;två etapper;+490 platser;volymstudie 2016-01;GB 2018-10 / rev 2022-12;;etapp2 överprövad ~6mån;2020-01;godkänd 2024-05;53;primär (slutrapport);ja överprövning;meetingspublic slutrapport 2025-02
Hässelby Villastads skola;Stockholm SISAB;skola;ombyggnad;;+80 platser;;GB 2019-03;;;;hus A 2022-02;;primär (slutredovisning);nej;meetingspublic bilaga 4 2024-11-05
Bromma Gymnasium;Stockholm SISAB;gymnasium;nybygg konceptskola;;+350 platser;;GB 2020-12;;;;godkänd 2023-07;;primär (slutrapport);nej;meetingspublic bilaga 2 2024-12-17
Sjöviksskolan;Stockholm SISAB;skola F-9;nybygg (ny DP inferens);;1200 elever;;GB 2015-08;;;;inflytt vt2020;;primär (slutredovisning);nej;meetingspublic 2022-02-09
Kämpetorpsskolan;Stockholm SISAB;skola F-9;om/tillbygg;;350->1080 platser;;GB ej i dok;;;;inflytt 2019-01;;primär;nej;meetingspublic 2022-02-09
Nya Kvarngärdesskolan;Uppsala Skolfast;skola F-9+hall;nybygg;partnering TE (ByggDialog);15898 m2 990 elev;förstudie klar 2016-06;förslagshandling klar 2018-11;DP laga kraft 2020-07;2019-10;2022 sommar;invigning 2025-09;38;primär (projektsida);nej;skolfastigheter.uppsala.se
Bälinge nya skola;Uppsala Skolfast;skola F-6+hall;nybygg;;630 elev;förstudie klar 2024-06;förslag klar 2025-12;;;plan 2027;plan 2029;;primär (projektsida);nej;skolfastigheter.uppsala.se
Nya Flogstaskolan;Uppsala Skolfast;skola F-6;ombyggnad?;;420 elev;förstudie klar 2022-12;förslag klar 2024-03;;;;;;primär (projektsida);ja pausad;skolfastigheter.uppsala.se
Änglandaskolan;Örebro Futurum;skola F-6+hall;nybygg;partnering TE (ByggDialog);6370 m2 ~525 elev;;;;;2017-01;verksamhet 2018-08;19;sekundär;nej;byggdialog.se orebrokuriren.se
Wallerska skolan;Örebro Futurum;skola+hall;om+nybygg;TE (OBK);;;;;;2025-01;plan höst2026;20;primär (projektsida);ja om+nybygg;futurumfastigheter.se
Svärtinge Skogsbacke;Norrköping Norrevo;skola F-6+hall;nybygg;TE (NCC);6600 m2 450 elev;;;;;2018;verksamhet vt2021;33;primär (NCC projektsida);nej;ncc.se
Styrstad 6:15;Norrköping Norrevo;skola F-6+hall;nybygg;;450 platser;;;;;2021-09;höst2024;36;sekundär;nej;via.tt.se 2021-09-20
Nya Smedbyskolan;Norrköping Norrevo;skola F-6+hall;nybygg;;;;;;överprövad 2020;2021 vår;vår2024;36;sekundär;ja överprövning;nyaprojekt.se
Nya Gårdstensskolan;Göteborg Stadsfast;skola F-6+hall;nybygg bef DP;TE/ABT;493 mnkr;grundskolenämnd 2021-08;GB lokalnämnd 2022-02 / rev 2024-12;;;plan 2025-11;plan slutbesikt 2028-11 / skolstart vt2029;36;primär (tjänsteutlåtande);ja omtag;goteborg.se PDF SFN 2024-12-17
Mölledalsskolan;Malmö Stadsfast;skola F-9;nybygg (i hangar) bef DP;;700 platser 364 mnkr;nämnduppdrag 2024-08;KF investbeslut 2024-12;;;;plan höst2029;;primär (KF-tjänsteskrivelse);lätt (hangar);motenmedborgarportal.malmo.se
Hästhagens förskola;Malmö Stadsfast;förskola;nybygg (rivning+ersätt) bef DP;;+18-24 platser;lokalbeslut 2023-04;förskolenämnd 2023-04;;;;;;primär (lokalbeslut);nej;motenmedborgarportal.malmo.se
Carlslundsskolan;Umeå kommun;skola 7-9+hall;nybygg (ny plan?);TE (Rekab);9300 m2 max540 elev;;;;;2023-04;skolstart HT2024 invign 2024-11;18;sekundär;nej;via.tt.se mynewsdesk
S:t Jörgens skola;Helsingborg;skola;ombyggnad;generalentr;17->60 mnkr;;;;;2015-12;invigning 2018-01;25;sekundär;ja dolda skador;svt.se 2018-01-11
Ånn 7 Årsta;Micasa Stockholm;VoB;nybygg (river bef, ny DP);;72 VoB+61 senior;initierat 2016;inriktn KF 2020-11;DP 2024;genomförande KF 2025-06;plan slut2025;plan Q1 2028;;primär (styrelsehandling);nej;meetingspublic Micasa Stora Projekt T2 2025
